"date","England","NI","Scotland"
2001-01-01,TRUE,TRUE,TRUE
2001-04-13,TRUE,TRUE,TRUE
2001-04-16,TRUE,TRUE,FALSE
2001-05-07,TRUE,TRUE,TRUE
2001-05-28,TRUE,TRUE,TRUE
2001-08-27,TRUE,TRUE,FALSE
2001-12-25,TRUE,TRUE,TRUE
2001-12-26,TRUE,TRUE,TRUE
2001-03-17,FALSE,TRUE,FALSE
2001-07-12,FALSE,TRUE,FALSE
2001-01-02,FALSE,FALSE,TRUE
2001-08-06,FALSE,FALSE,TRUE
2001-11-30,FALSE,FALSE,TRUE
2002-01-01,TRUE,TRUE,TRUE
2002-03-29,TRUE,TRUE,TRUE
2002-04-01,TRUE,TRUE,FALSE
2002-05-06,TRUE,TRUE,TRUE
2002-05-27,TRUE,TRUE,TRUE
2002-08-26,TRUE,TRUE,FALSE
2002-12-25,TRUE,TRUE,TRUE
2002-12-26,TRUE,TRUE,TRUE
2002-03-17,FALSE,TRUE,FALSE
2002-07-12,FALSE,TRUE,FALSE
2002-01-02,FALSE,FALSE,TRUE
2002-08-05,FALSE,FALSE,TRUE
2002-11-30,FALSE,FALSE,TRUE
2003-01-01,TRUE,TRUE,TRUE
2003-04-18,TRUE,TRUE,TRUE
2003-04-21,TRUE,TRUE,FALSE
2003-05-05,TRUE,TRUE,TRUE
2003-05-26,TRUE,TRUE,TRUE
2003-08-25,TRUE,TRUE,FALSE
2003-12-25,TRUE,TRUE,TRUE
2003-12-26,TRUE,TRUE,TRUE
2003-03-17,FALSE,TRUE,FALSE
2003-07-12,FALSE,TRUE,FALSE
2003-01-02,FALSE,FALSE,TRUE
2003-08-04,FALSE,FALSE,TRUE
2003-11-30,FALSE,FALSE,TRUE
2004-01-01,TRUE,TRUE,TRUE
2004-04-09,TRUE,TRUE,TRUE
2004-04-12,TRUE,TRUE,FALSE
2004-05-03,TRUE,TRUE,TRUE
2004-05-31,TRUE,TRUE,TRUE
2004-08-30,TRUE,TRUE,FALSE
2004-12-25,TRUE,TRUE,TRUE
2004-12-26,TRUE,TRUE,TRUE
2004-03-17,FALSE,TRUE,FALSE
2004-07-12,FALSE,TRUE,FALSE
2004-01-02,FALSE,FALSE,TRUE
2004-08-02,FALSE,FALSE,TRUE
2004-11-30,FALSE,FALSE,TRUE
2005-01-01,TRUE,TRUE,TRUE
2005-03-25,TRUE,TRUE,TRUE
2005-03-28,TRUE,TRUE,FALSE
2005-05-02,TRUE,TRUE,TRUE
2005-05-30,TRUE,TRUE,TRUE
2005-08-29,TRUE,TRUE,FALSE
2005-12-25,TRUE,TRUE,TRUE
2005-12-26,TRUE,TRUE,TRUE
2005-03-17,FALSE,TRUE,FALSE
2005-07-12,FALSE,TRUE,FALSE
2005-01-02,FALSE,FALSE,TRUE
2005-08-01,FALSE,FALSE,TRUE
2005-11-30,FALSE,FALSE,TRUE
2006-01-01,TRUE,TRUE,TRUE
2006-04-14,TRUE,TRUE,TRUE
2006-04-17,TRUE,TRUE,FALSE
2006-05-01,TRUE,TRUE,TRUE
2006-05-29,TRUE,TRUE,TRUE
2006-08-28,TRUE,TRUE,FALSE
2006-12-25,TRUE,TRUE,TRUE
2006-12-26,TRUE,TRUE,TRUE
2006-03-17,FALSE,TRUE,FALSE
2006-07-12,FALSE,TRUE,FALSE
2006-01-02,FALSE,FALSE,TRUE
2006-08-07,FALSE,FALSE,TRUE
2006-11-30,FALSE,FALSE,TRUE
2007-01-01,TRUE,TRUE,TRUE
2007-04-06,TRUE,TRUE,TRUE
2007-04-09,TRUE,TRUE,FALSE
2007-05-07,TRUE,TRUE,TRUE
2007-05-28,TRUE,TRUE,TRUE
2007-08-27,TRUE,TRUE,FALSE
2007-12-25,TRUE,TRUE,TRUE
2007-12-26,TRUE,TRUE,TRUE
2007-03-17,FALSE,TRUE,FALSE
2007-07-12,FALSE,TRUE,FALSE
2007-01-02,FALSE,FALSE,TRUE
2007-08-06,FALSE,FALSE,TRUE
2007-11-30,FALSE,FALSE,TRUE
2008-01-01,TRUE,TRUE,TRUE
2008-03-21,TRUE,TRUE,TRUE
2008-03-24,TRUE,TRUE,FALSE
2008-05-05,TRUE,TRUE,TRUE
2008-05-26,TRUE,TRUE,TRUE
2008-08-25,TRUE,TRUE,FALSE
2008-12-25,TRUE,TRUE,TRUE
2008-12-26,TRUE,TRUE,TRUE
2008-03-17,FALSE,TRUE,FALSE
2008-07-12,FALSE,TRUE,FALSE
2008-01-02,FALSE,FALSE,TRUE
2008-08-04,FALSE,FALSE,TRUE
2008-11-30,FALSE,FALSE,TRUE
2009-01-01,TRUE,TRUE,TRUE
2009-04-10,TRUE,TRUE,TRUE
2009-04-13,TRUE,TRUE,FALSE
2009-05-04,TRUE,TRUE,TRUE
2009-05-25,TRUE,TRUE,TRUE
2009-08-31,TRUE,TRUE,FALSE
2009-12-25,TRUE,TRUE,TRUE
2009-12-26,TRUE,TRUE,TRUE
2009-03-17,FALSE,TRUE,FALSE
2009-07-12,FALSE,TRUE,FALSE
2009-01-02,FALSE,FALSE,TRUE
2009-08-03,FALSE,FALSE,TRUE
2009-11-30,FALSE,FALSE,TRUE
2010-01-01,TRUE,TRUE,TRUE
2010-04-02,TRUE,TRUE,TRUE
2010-04-05,TRUE,TRUE,FALSE
2010-05-03,TRUE,TRUE,TRUE
2010-05-31,TRUE,TRUE,TRUE
2010-08-30,TRUE,TRUE,FALSE
2010-12-25,TRUE,TRUE,TRUE
2010-12-26,TRUE,TRUE,TRUE
2010-03-17,FALSE,TRUE,FALSE
2010-07-12,FALSE,TRUE,FALSE
2010-01-02,FALSE,FALSE,TRUE
2010-08-02,FALSE,FALSE,TRUE
2010-11-30,FALSE,FALSE,TRUE
2011-01-01,TRUE,TRUE,TRUE
2011-04-22,TRUE,TRUE,TRUE
2011-04-25,TRUE,TRUE,FALSE
2011-05-02,TRUE,TRUE,TRUE
2011-05-30,TRUE,TRUE,TRUE
2011-08-29,TRUE,TRUE,FALSE
2011-12-25,TRUE,TRUE,TRUE
2011-12-26,TRUE,TRUE,TRUE
2011-03-17,FALSE,TRUE,FALSE
2011-07-12,FALSE,TRUE,FALSE
2011-01-02,FALSE,FALSE,TRUE
2011-08-01,FALSE,FALSE,TRUE
2011-11-30,FALSE,FALSE,TRUE
2012-01-01,TRUE,TRUE,TRUE
2012-04-06,TRUE,TRUE,TRUE
2012-04-09,TRUE,TRUE,FALSE
2012-05-07,TRUE,TRUE,TRUE
2012-05-28,TRUE,TRUE,TRUE
2012-08-27,TRUE,TRUE,FALSE
2012-12-25,TRUE,TRUE,TRUE
2012-12-26,TRUE,TRUE,TRUE
2012-03-17,FALSE,TRUE,FALSE
2012-07-12,FALSE,TRUE,FALSE
2012-01-02,FALSE,FALSE,TRUE
2012-08-06,FALSE,FALSE,TRUE
2012-11-30,FALSE,FALSE,TRUE
2013-01-01,TRUE,TRUE,TRUE
2013-03-29,TRUE,TRUE,TRUE
2013-04-01,TRUE,TRUE,FALSE
2013-05-06,TRUE,TRUE,TRUE
2013-05-27,TRUE,TRUE,TRUE
2013-08-26,TRUE,TRUE,FALSE
2013-12-25,TRUE,TRUE,TRUE
2013-12-26,TRUE,TRUE,TRUE
2013-03-17,FALSE,TRUE,FALSE
2013-07-12,FALSE,TRUE,FALSE
2013-01-02,FALSE,FALSE,TRUE
2013-08-05,FALSE,FALSE,TRUE
2013-11-30,FALSE,FALSE,TRUE
2014-01-01,TRUE,TRUE,TRUE
2014-04-18,TRUE,TRUE,TRUE
2014-04-21,TRUE,TRUE,FALSE
2014-05-05,TRUE,TRUE,TRUE
2014-05-26,TRUE,TRUE,TRUE
2014-08-25,TRUE,TRUE,FALSE
2014-12-25,TRUE,TRUE,TRUE
2014-12-26,TRUE,TRUE,TRUE
2014-03-17,FALSE,TRUE,FALSE
2014-07-12,FALSE,TRUE,FALSE
2014-01-02,FALSE,FALSE,TRUE
2014-08-04,FALSE,FALSE,TRUE
2014-11-30,FALSE,FALSE,TRUE
2015-01-01,TRUE,TRUE,TRUE
2015-04-03,TRUE,TRUE,TRUE
2015-04-06,TRUE,TRUE,FALSE
2015-05-04,TRUE,TRUE,TRUE
2015-05-25,TRUE,TRUE,TRUE
2015-08-31,TRUE,TRUE,FALSE
2015-12-25,TRUE,TRUE,TRUE
2015-12-26,TRUE,TRUE,TRUE
2015-03-17,FALSE,TRUE,FALSE
2015-07-12,FALSE,TRUE,FALSE
2015-01-02,FALSE,FALSE,TRUE
2015-08-03,FALSE,FALSE,TRUE
2015-11-30,FALSE,FALSE,TRUE
2016-01-01,TRUE,TRUE,TRUE
2016-03-25,TRUE,TRUE,TRUE
2016-03-28,TRUE,TRUE,FALSE
2016-05-02,TRUE,TRUE,TRUE
2016-05-30,TRUE,TRUE,TRUE
2016-08-29,TRUE,TRUE,FALSE
2016-12-25,TRUE,TRUE,TRUE
2016-12-26,TRUE,TRUE,TRUE
2016-03-17,FALSE,TRUE,FALSE
2016-07-12,FALSE,TRUE,FALSE
2016-01-02,FALSE,FALSE,TRUE
2016-08-01,FALSE,FALSE,TRUE
2016-11-30,FALSE,FALSE,TRUE
2017-01-01,TRUE,TRUE,TRUE
2017-04-14,TRUE,TRUE,TRUE
2017-04-17,TRUE,TRUE,FALSE
2017-05-01,TRUE,TRUE,TRUE
2017-05-29,TRUE,TRUE,TRUE
2017-08-28,TRUE,TRUE,FALSE
2017-12-25,TRUE,TRUE,TRUE
2017-12-26,TRUE,TRUE,TRUE
2017-03-17,FALSE,TRUE,FALSE
2017-07-12,FALSE,TRUE,FALSE
2017-01-02,FALSE,FALSE,TRUE
2017-08-07,FALSE,FALSE,TRUE
2017-11-30,FALSE,FALSE,TRUE
2018-01-01,TRUE,TRUE,TRUE
2018-03-30,TRUE,TRUE,TRUE
2018-04-02,TRUE,TRUE,FALSE
2018-05-07,TRUE,TRUE,TRUE
2018-05-28,TRUE,TRUE,TRUE
2018-08-27,TRUE,TRUE,FALSE
2018-12-25,TRUE,TRUE,TRUE
2018-12-26,TRUE,TRUE,TRUE
2018-03-17,FALSE,TRUE,FALSE
2018-07-12,FALSE,TRUE,FALSE
2018-01-02,FALSE,FALSE,TRUE
2018-08-06,FALSE,FALSE,TRUE
2018-11-30,FALSE,FALSE,TRUE
