"stop_id","stop_code","stop_name","stop_lon","stop_lat"
"ABDARE","ABA","Aberdare Rail Station",-3.44182, 51.7145
"ABDO","AUR","Aberdour Rail Station",-3.30056, 56.05459
"ABDVY","AVY","Aberdovey Rail Station",-4.05589, 52.54432
"ABER","ABE","Aber Rail Station",-3.22983, 51.57496
"ABGLELE","AGL","Abergele & Pensarn Rail Station",-3.58262, 53.29457
"ABNGHST","XAE","ABINGDON HIGH STREET",-1.28123, 51.67317
"ABNGSTR","XAE","ABINGDON STRATTON WAY",-1.28123, 51.67317
"ABRCYNS","ACY","Abercynon Rail Station",-3.32699, 51.64471
"ABRDEEN","ABD","Aberdeen Rail Station",-2.09869, 57.1437
"ABRE","ABH","Abererch Rail Station",-4.37418, 52.89858
"ABRGVNY","AGV","Abergavenny Rail Station",-3.00914, 51.81715
"ABRYSTH","AYW","Aberystwyth Rail Station",-4.08189, 52.41404
"ABWD","ABW","Abbey Wood (London) Rail Station",0.12139, 51.49106
"ACBG","ACB","Acton Bridge Rail Station",-2.60313, 53.26651
"ACHANLT","AAT","Achanalt Rail Station",-4.91385, 57.60959
"ACHHSHL","ACH","Achnashellach Rail Station",-5.33306, 57.48207
"ACHILCK","AUK","Auchinleck Rail Station",-4.29535, 55.47027
"ACHNSHN","ACN","Achnasheen Rail Station",-5.07233, 57.57929
"ACKLNGT","ACK","Acklington Rail Station",-1.65183, 55.3071
"ACLE","ACL","Acle Rail Station",1.54392, 52.63468
"ACOCKSG","ACG","Acocks Green Rail Station",-1.81898, 52.44932
"ACRNGTN","ACR","Accrington Rail Station",-2.36955, 53.75297
"ACTNCTL","ACC","Acton Central Rail Station",-0.26297, 51.50871
"ACTONML","AML","Acton Main Line Rail Station",-0.26676, 51.51718
"ACTONW","EAL","ACTON WEST",-0.30086, 51.51471
"ADERLYP","ADD","Adderley Park Rail Station",-1.85594, 52.48308
"ADIEWEL","ADW","Addiewell Rail Station",-3.60653, 55.84341
"ADISHAM","ADM","Adisham Rail Station",1.19909, 51.2412
"ADLC","ADC","Adlington (Cheshire) Rail Station",-2.13356, 53.31955
"ADLESTN","ASN","Addlestone Rail Station",-0.48446, 51.37304
"ADNL","ADL","Adlington (Lancs) Rail Station",-2.60307, 53.61324
"ADWICK","AWK","Adwick Rail Station",-1.18036, 53.57232
"AGHTNPH","AUG","Aughton Park Rail Station",-2.89522, 53.55425
"AIGBURT","AIG","Aigburth Rail Station",-2.92715, 53.36456
"AINSDAL","ANS","Ainsdale Rail Station",-3.04265, 53.60203
"AINTREE","AIN","Aintree Rail Station",-2.95628, 53.47391
"AIRBLES","AIR","Airbles Rail Station",-3.99419, 55.78283
"AIRDRIE","ADR","Airdrie Rail Station",-3.98291, 55.86398
"AIRP","APN","Newcastle Airport Metro",-1.71105, 55.03595
"ALBNFCL","AYP","ALBANY PARK-FOOTSCRAY LANE",0.1264, 51.4358
"ALBNHRC","AYP","ALBANY PARK HURST ROAD",0.1264, 51.4358
"ALBNHV","AYP","ALBANY PARK-HRST RD/VAL AV",0.1264, 51.4358
"ALBNYPK","AYP","Albany Park Rail Station",0.12574, 51.43545
"ALBRGHT","ALB","Albrighton Rail Station",-2.2689, 52.63794
"ALDEDGE","ALD","Alderley Edge Rail Station",-2.2368, 53.30378
"ALDGEST","ZAE","ALDGATE EAST LT",-0.07079, 51.51562
"ALDMSTN","AMT","Aldermaston Rail Station",-1.13742, 51.40196
